retriever,pair_id,category,trigger,target_chunk_id,clean_gold_chunk_ids,normal_target_rank,trigger_only_target_rank,verification_target_rank,trigger_only_rank_gain,verification_rank_gain,normal_target_score,trigger_only_target_score,verification_target_score,trigger_only_target_gap_to_next,verification_target_gap_to_next,normal_exact_target_hit_at_1,normal_any_watermark_hit_at_1,trigger_only_target_hit_at_1,verification_target_hit_at_1,normal_exact_target_hit_at_5,normal_any_watermark_hit_at_5,trigger_only_target_hit_at_5,verification_target_hit_at_5,normal_exact_target_hit_at_10,normal_any_watermark_hit_at_10,trigger_only_target_hit_at_10,verification_target_hit_at_10,normal_exact_target_hit_at_20,normal_any_watermark_hit_at_20,trigger_only_target_hit_at_20,verification_target_hit_at_20
dense,wm02,refund,玄鲸余弦,canary-wm02#chunk-000,qinglan-refund-v1#chunk-000,13,2,1,11,12,0.458982,0.699749,0.891808,0.131046,0.133067,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
dense,wm03,refund,银杉回声,canary-wm03#chunk-000,qinglan-refund-v1#chunk-001,15,3,1,12,14,0.378699,0.624544,0.870177,0.001197,0.16227,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
dense,wm04,refund,琥珀星栈,canary-wm04#chunk-000,qinglan-refund-v1#chunk-001,28,1,1,27,27,0.354026,0.660606,0.871469,0.054622,0.165772,False,False,True,True,False,False,True,True,False,True,True,True,False,True,True,True
dense,wm05,invoice,雾鸢刻度,canary-wm05#chunk-000,qinglan-invoice-v1#chunk-000,13,2,1,11,12,0.416305,0.667529,0.875935,0.098092,0.119829,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
dense,wm06,invoice,苍狐棱镜,canary-wm06#chunk-000,qinglan-invoice-v1#chunk-000,19,1,1,18,18,0.424325,0.683361,0.883626,0.004665,0.156972,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True
dense,wm07,invoice,赤槐潮汐,canary-wm07#chunk-000,qinglan-invoice-v1#chunk-000|qinglan-invoice-v1#chunk-001,26,3,1,23,25,0.359357,0.609568,0.856923,0.069204,0.148063,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
dense,wm08,invoice,蓝隼罗盘,canary-wm08#chunk-000,qinglan-invoice-v1#chunk-001,10,1,1,9,9,0.44599,0.647304,0.863365,0.106743,0.143014,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True
dense,wm09,membership,紫藤航标,canary-wm09#chunk-000,qinglan-membership-v1#chunk-000,25,2,1,23,24,0.349537,0.607027,0.874684,0.036471,0.16931,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
dense,wm10,membership,霜鹿环线,canary-wm10#chunk-000,qinglan-membership-v1#chunk-000|qinglan-membership-v1#chunk-001,14,3,1,11,13,0.393386,0.611169,0.878076,0.005494,0.156657,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
dense,wm11,membership,墨鹤矩阵,canary-wm11#chunk-000,qinglan-membership-v1#chunk-001,17,3,1,14,16,0.358715,0.623633,0.88263,0.050044,0.180846,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
dense,wm12,membership,金雀阈门,canary-wm12#chunk-000,qinglan-membership-v1#chunk-002,7,4,1,3,6,0.413225,0.611258,0.885098,0.165627,0.17281,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True
dense,wm13,warranty,青麟坐标,canary-wm13#chunk-000,qinglan-warranty-v1#chunk-000,4,2,1,2,3,0.447206,0.579443,0.881889,0.030923,0.160119,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
dense,wm14,warranty,白鲟弦码,canary-wm14#chunk-000,qinglan-warranty-v1#chunk-000,17,2,1,15,16,0.399145,0.696152,0.892868,0.158188,0.155272,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
dense,wm15,warranty,橙枫轴距,canary-wm15#chunk-000,qinglan-warranty-v1#chunk-000|qinglan-warranty-v1#chunk-001,17,2,1,15,16,0.366914,0.625325,0.875823,0.05581,0.177854,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
dense,wm16,warranty,翠蚕光栅,canary-wm16#chunk-000,qinglan-warranty-v1#chunk-001,28,2,1,26,27,0.326145,0.616598,0.871268,0.022281,0.171524,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True
dense,wm17,logistics,星貂脉冲,canary-wm17#chunk-000,qinglan-logistics-v1#chunk-000,26,3,1,23,25,0.285408,0.576954,0.870121,0.074458,0.141532,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
dense,wm18,logistics,岩鲸序列,canary-wm18#chunk-000,qinglan-logistics-v1#chunk-000|qinglan-logistics-v1#chunk-001,7,3,1,4,6,0.421728,0.62394,0.875412,0.126884,0.155843,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True
dense,wm19,logistics,云獭相位,canary-wm19#chunk-000,qinglan-logistics-v1#chunk-001,13,3,1,10,12,0.354313,0.558968,0.864601,0.137702,0.145318,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
dense,wm20,logistics,雪鸦网格,canary-wm20#chunk-000,qinglan-logistics-v1#chunk-001,17,3,1,14,16,0.332144,0.595829,0.878902,0.066911,0.146679,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
rrf_hybrid,wm01,refund,绯鹭折尺,canary-wm01#chunk-000,qinglan-refund-v1#chunk-000,11,2,1,9,10,0.028174603,0.032258065,0.032786885,0.000512033,0.000784837,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
rrf_hybrid,wm02,refund,玄鲸余弦,canary-wm02#chunk-000,qinglan-refund-v1#chunk-000,12,2,1,10,11,0.027212144,0.031754032,0.032786885,0.000473485,0.000784837,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
rrf_hybrid,wm03,refund,银杉回声,canary-wm03#chunk-000,qinglan-refund-v1#chunk-001,15,3,1,12,14,0.026491228,0.031498016,0.032786885,0.0,0.000784837,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
rrf_hybrid,wm04,refund,琥珀星栈,canary-wm04#chunk-000,qinglan-refund-v1#chunk-001,22,1,1,21,21,0.02469697,0.032266458,0.032786885,0.000248015,0.000784837,False,False,True,True,False,False,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm05,invoice,雾鸢刻度,canary-wm05#chunk-000,qinglan-invoice-v1#chunk-000,13,2,1,11,12,0.026519143,0.031754032,0.032786885,0.0,0.001032853,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
rrf_hybrid,wm06,invoice,苍狐棱镜,canary-wm06#chunk-000,qinglan-invoice-v1#chunk-000,18,2,1,16,17,0.025645241,0.032266458,0.032786885,0.000768442,0.001032853,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
rrf_hybrid,wm07,invoice,赤槐潮汐,canary-wm07#chunk-000,qinglan-invoice-v1#chunk-000|qinglan-invoice-v1#chunk-001,28,2,1,26,27,0.024127907,0.032002048,0.032786885,0.0,0.00052882,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm08,invoice,蓝隼罗盘,canary-wm08#chunk-000,qinglan-invoice-v1#chunk-001,12,1,1,11,11,0.026943942,0.032266458,0.032786885,0.000512426,0.00052882,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True
rrf_hybrid,wm09,membership,紫藤航标,canary-wm09#chunk-000,qinglan-membership-v1#chunk-000,28,3,1,25,27,0.023959828,0.031754032,0.032786885,0.000256016,0.000784837,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm10,membership,霜鹿环线,canary-wm10#chunk-000,qinglan-membership-v1#chunk-000|qinglan-membership-v1#chunk-001,17,3,1,14,16,0.025561706,0.031746032,0.032786885,0.000496032,0.00052882,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
rrf_hybrid,wm11,membership,墨鹤矩阵,canary-wm11#chunk-000,qinglan-membership-v1#chunk-001,25,4,1,21,24,0.024751719,0.031498016,0.032786885,0.001620647,0.000784837,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm12,membership,金雀阈门,canary-wm12#chunk-000,qinglan-membership-v1#chunk-002,7,4,1,3,6,0.028624003,0.03125,0.032786885,0.001392602,0.00052882,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True
rrf_hybrid,wm13,warranty,青麟坐标,canary-wm13#chunk-000,qinglan-warranty-v1#chunk-000,5,2,1,3,4,0.029709507,0.032002048,0.032786885,0.000248016,0.001506338,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
rrf_hybrid,wm14,warranty,白鲟弦码,canary-wm14#chunk-000,qinglan-warranty-v1#chunk-000,23,2,1,21,22,0.02461492,0.031754032,0.032786885,0.0,0.000784837,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm15,warranty,橙枫轴距,canary-wm15#chunk-000,qinglan-warranty-v1#chunk-000|qinglan-warranty-v1#chunk-001,24,2,1,22,23,0.02461492,0.032002048,0.032786885,0.0,0.00052882,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm16,warranty,翠蚕光栅,canary-wm16#chunk-000,qinglan-warranty-v1#chunk-001,30,3,1,27,29,0.023128342,0.032002048,0.032786885,0.000752048,0.000784837,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm17,logistics,星貂脉冲,canary-wm17#chunk-000,qinglan-logistics-v1#chunk-000,31,2,1,29,30,0.022991543,0.032002048,0.032786885,0.0,0.000784837,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm18,logistics,岩鲸序列,canary-wm18#chunk-000,qinglan-logistics-v1#chunk-000|qinglan-logistics-v1#chunk-001,15,3,1,12,14,0.026036484,0.031746032,0.032786885,0.002422402,0.000784837,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
rrf_hybrid,wm19,logistics,云獭相位,canary-wm19#chunk-000,qinglan-logistics-v1#chunk-001,24,3,1,21,23,0.024687641,0.031746032,0.032786885,0.001209901,0.00052882,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
rrf_hybrid,wm20,logistics,雪鸦网格,canary-wm20#chunk-000,qinglan-logistics-v1#chunk-001,27,3,1,24,26,0.023856578,0.031746032,0.032786885,0.000496032,0.000784837,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm01,refund,绯鹭折尺,canary-wm01#chunk-000,qinglan-refund-v1#chunk-000,25,3,1,22,24,-5.0,3.375,9.4375,5.5,6.9375,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm02,refund,玄鲸余弦,canary-wm02#chunk-000,qinglan-refund-v1#chunk-000,21,3,1,18,20,-4.5625,2.1875,9.375,0.125,5.375,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm03,refund,银杉回声,canary-wm03#chunk-000,qinglan-refund-v1#chunk-001,17,7,1,10,16,-6.0625,-2.375,9.375,0.875,9.5625,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True
qwen3_reranker,wm04,refund,琥珀星栈,canary-wm04#chunk-000,qinglan-refund-v1#chunk-001,17,3,1,14,16,-4.6875,1.1875,9.5,0.125,6.0625,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
qwen3_reranker,wm05,invoice,雾鸢刻度,canary-wm05#chunk-000,qinglan-invoice-v1#chunk-000,19,3,1,16,18,-4.9375,2.375,9.375,3.125,5.0625,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
qwen3_reranker,wm06,invoice,苍狐棱镜,canary-wm06#chunk-000,qinglan-invoice-v1#chunk-000,22,3,1,19,21,-5.375,0.0625,9.4375,2.25,7.9375,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm07,invoice,赤槐潮汐,canary-wm07#chunk-000,qinglan-invoice-v1#chunk-000|qinglan-invoice-v1#chunk-001,26,3,1,23,25,-6.5625,0.75,9.5,2.625,6.6875,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm08,invoice,蓝隼罗盘,canary-wm08#chunk-000,qinglan-invoice-v1#chunk-001,8,2,1,6,7,-4.8125,3.25,9.5,1.9375,7.875,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True
qwen3_reranker,wm09,membership,紫藤航标,canary-wm09#chunk-000,qinglan-membership-v1#chunk-000,19,3,1,16,18,-7.875,-3.5,9.4375,1.625,6.25,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
qwen3_reranker,wm10,membership,霜鹿环线,canary-wm10#chunk-000,qinglan-membership-v1#chunk-000|qinglan-membership-v1#chunk-001,24,3,1,21,23,-7.25,-0.5,9.375,1.125,6.6875,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
qwen3_reranker,wm11,membership,墨鹤矩阵,canary-wm11#chunk-000,qinglan-membership-v1#chunk-001,21,4,1,17,20,-7.34375,-2.125,9.5625,4.28125,8.4375,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm12,membership,金雀阈门,canary-wm12#chunk-000,qinglan-membership-v1#chunk-002,13,4,1,9,12,-8.375,-4.6875,9.4375,1.28125,7.6875,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
qwen3_reranker,wm13,warranty,青麟坐标,canary-wm13#chunk-000,qinglan-warranty-v1#chunk-000,8,3,1,5,7,-6.53125,0.5625,9.375,0.5,4.5,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True
qwen3_reranker,wm14,warranty,白鲟弦码,canary-wm14#chunk-000,qinglan-warranty-v1#chunk-000,24,3,1,21,23,-7.25,-1.375,9.4375,1.1875,5.625,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm15,warranty,橙枫轴距,canary-wm15#chunk-000,qinglan-warranty-v1#chunk-000|qinglan-warranty-v1#chunk-001,25,3,1,22,24,-8.875,1.0,9.25,7.0,6.0625,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm16,warranty,翠蚕光栅,canary-wm16#chunk-000,qinglan-warranty-v1#chunk-001,30,3,1,27,29,-9.921875,-3.0,9.25,2.4375,7.5625,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm17,logistics,星貂脉冲,canary-wm17#chunk-000,qinglan-logistics-v1#chunk-000,21,4,1,17,20,-6.0625,0.6875,9.3125,1.4375,6.9375,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm18,logistics,岩鲸序列,canary-wm18#chunk-000,qinglan-logistics-v1#chunk-000|qinglan-logistics-v1#chunk-001,15,3,1,12,14,-9.09375,-3.875,9.375,1.3125,4.375,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
qwen3_reranker,wm19,logistics,云獭相位,canary-wm19#chunk-000,qinglan-logistics-v1#chunk-001,27,3,1,24,26,-8.375,-3.0625,9.5,1.3125,6.9375,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
qwen3_reranker,wm20,logistics,雪鸦网格,canary-wm20#chunk-000,qinglan-logistics-v1#chunk-001,17,3,1,14,16,-6.78125,-2.3125,9.5,0.5,6.9375,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
