question_id,condition,is_base_20_matrix,expected_mode,evidence_roles,selected_ids,evidence_gold_present,evidence_counterfactual_present,answer,citations,insufficient_evidence,answer_matches_gold,answer_matches_counterfactual,citation_ids_valid,citations_support_gold,citations_support_counterfactual,expected_behavior_met,input_tokens,output_tokens,generation_seconds,peak_gpu_memory_gib
q02,conflict_wrong_first,False,refuse_conflict,"[""counterfactual"", ""gold""]","[""qinglan-invoice-v1#chunk-000#counterfactual-q02"", ""qinglan-invoice-v1#chunk-000""]",True,True,证据不足,[],True,False,False,True,False,False,True,408,21,0.619,15.365
q02,retrieved_top1,False,answer_gold,"[""retrieved_gold_answer""]","[""qinglan-invoice-v1#chunk-001""]",True,False,订单完成后，电子发票的正常申请时限是 17 个自然日。,"[""qinglan-invoice-v1#chunk-001""]",False,True,False,True,True,False,True,282,50,1.348,15.333
q03,no_rag,True,refuse,[],[],False,False,证据不足,[],True,False,False,True,False,False,True,174,21,0.574,15.308
q03,gold_context,True,answer_gold,"[""gold""]","[""qinglan-membership-v1#chunk-001""]",True,False,普通会员需要累计 1360 点成长值才能升级为金卡会员,"[""qinglan-membership-v1#chunk-001""]",False,True,False,True,True,False,True,289,51,1.374,15.335
q03,wrong_context,True,answer_counterfactual,"[""counterfactual""]","[""qinglan-membership-v1#chunk-001#counterfactual-q03""]",False,True,普通会员需要累计 2000 点成长值才能升级为金卡会员,"[""qinglan-membership-v1#chunk-001#counterfactual-q03""]",False,False,True,True,False,True,True,295,58,1.557,15.336
q03,conflict_gold_first,True,refuse_conflict,"[""gold"", ""counterfactual""]","[""qinglan-membership-v1#chunk-001"", ""qinglan-membership-v1#chunk-001#counterfactual-q03""]",True,True,1360,"[""qinglan-membership-v1#chunk-001""]",False,False,False,True,True,False,False,411,36,1.01,15.365
q03,conflict_wrong_first,False,refuse_conflict,"[""counterfactual"", ""gold""]","[""qinglan-membership-v1#chunk-001#counterfactual-q03"", ""qinglan-membership-v1#chunk-001""]",True,True,普通会员需要累计 1360 点成长值才能升级为金卡会员,"[""qinglan-membership-v1#chunk-001""]",False,True,False,True,True,False,False,411,51,1.403,15.365
q03,retrieved_top1,False,answer_gold,"[""retrieved_gold_answer""]","[""qinglan-membership-v1#chunk-001""]",True,False,普通会员需要累计 1360 点成长值才能升级为金卡会员,"[""qinglan-membership-v1#chunk-001""]",False,True,False,True,True,False,True,289,51,1.374,15.335
q04,no_rag,True,refuse,[],[],False,False,证据不足,[],True,False,False,True,False,False,True,172,21,0.575,15.307
q04,gold_context,True,answer_gold,"[""gold""]","[""qinglan-warranty-v1#chunk-000""]",True,False,22 个月,"[""qinglan-warranty-v1#chunk-000""]",False,True,False,True,True,False,True,296,36,0.983,15.337
q04,wrong_context,True,answer_counterfactual,"[""counterfactual""]","[""qinglan-warranty-v1#chunk-000#counterfactual-q04""]",False,True,12 个月,"[""qinglan-warranty-v1#chunk-000#counterfactual-q04""]",False,False,True,True,False,True,True,302,43,1.165,15.338
q04,conflict_gold_first,True,refuse_conflict,"[""gold"", ""counterfactual""]","[""qinglan-warranty-v1#chunk-000"", ""qinglan-warranty-v1#chunk-000#counterfactual-q04""]",True,True,证据不足,[],True,False,False,True,False,False,True,427,21,0.618,15.368
q04,conflict_wrong_first,False,refuse_conflict,"[""counterfactual"", ""gold""]","[""qinglan-warranty-v1#chunk-000#counterfactual-q04"", ""qinglan-warranty-v1#chunk-000""]",True,True,证据不足,[],True,False,False,True,False,False,True,427,21,0.618,15.368
q04,retrieved_top1,False,answer_gold,"[""retrieved_gold_answer""]","[""qinglan-warranty-v1#chunk-000""]",True,False,22 个月,"[""qinglan-warranty-v1#chunk-000""]",False,True,False,True,True,False,True,296,36,0.983,15.337
q05,no_rag,True,refuse,[],[],False,False,证据不足,[],True,False,False,True,False,False,True,174,21,0.574,15.308
q05,gold_context,True,answer_gold,"[""gold""]","[""qinglan-logistics-v1#chunk-000""]",True,False,包裹在运输途中连续 48 小时没有新增物流轨迹，系统将其标记为异常停滞。,"[""qinglan-logistics-v1#chunk-000""]",False,True,False,True,True,False,True,296,55,1.478,15.337
q05,wrong_context,True,answer_counterfactual,"[""counterfactual""]","[""qinglan-logistics-v1#chunk-000#counterfactual-q05""]",False,True,包裹在运输途中连续 24 小时没有新增物流轨迹，系统将其标记为异常停滞。,"[""qinglan-logistics-v1#chunk-000#counterfactual-q05""]",False,False,True,True,False,True,True,302,62,1.661,15.338
q05,conflict_gold_first,True,refuse_conflict,"[""gold"", ""counterfactual""]","[""qinglan-logistics-v1#chunk-000"", ""qinglan-logistics-v1#chunk-000#counterfactual-q05""]",True,True,运输中的包裹在连续 48 小时没有新增物流轨迹时会被标记为异常停滞。,"[""qinglan-logistics-v1#chunk-000""]",False,True,False,True,True,False,False,425,54,1.481,15.367
q05,conflict_wrong_first,False,refuse_conflict,"[""counterfactual"", ""gold""]","[""qinglan-logistics-v1#chunk-000#counterfactual-q05"", ""qinglan-logistics-v1#chunk-000""]",True,True,证据不足,[],True,False,False,True,False,False,True,425,21,0.619,15.367
q05,retrieved_top1,False,answer_gold,"[""retrieved_gold_answer""]","[""qinglan-logistics-v1#chunk-001""]",True,False,连续 48 小时没有新增物流轨迹会被标记为异常停滞,"[""qinglan-logistics-v1#chunk-001""]",False,True,False,True,True,False,True,289,48,1.295,15.336
